Image	Name	Missing	Centroid X um	Centroid Y um
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-8	False	9663.4	10961.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-7	False	11186.6	11111.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-6	False	12683.9	11055.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-5	False	14178.5	11178.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-4	False	15656.3	11061.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-3	False	17179.5	11236.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-2	False	18652.7	11186.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-1	False	20076	11286.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-13	False	2347	12360.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-12	False	3820.3	12535
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-11	False	5293.5	12460
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-10	False	6763.1	12559.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-9	False	8215.1	12510
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-8	False	9738.3	12609.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-7	False	11251.5	12556.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-6	False	12709.8	12684.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-5	False	14158	12609.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-4	False	15706.2	12784.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-3	False	17154.5	12684.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-2	False	18627.8	12809.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-1	False	20126	12758.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-13	False	2272.1	13958.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-12	False	3770.3	13933.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-11	False	5268.5	14058.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-10	False	6684.6	14032.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-9	False	8215.1	14158
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-8	False	9638.4	14033.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-7	False	11136.6	14282.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-6	False	12609.9	14158
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-5	False	14108.1	14332.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-4	False	15606.3	14257.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-3	False	17079.6	14357.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-2	False	18552.8	14208
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-1	False	20094.7	14242
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-13	False	2621.7	15406.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-12	False	4070	15581.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-11	False	5493.3	15581.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-10	False	6916.6	15731.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-9	False	8339.9	15681.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-8	False	9763.2	15856
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-7	False	11211.5	15781.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-6	False	12684.8	15856
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-5	False	14183	15806.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-4	False	15656.3	15906
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-3	False	17129.5	15806.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-2	False	18627.8	15906
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-1	False	20026.1	15706.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-12	False	4020	17129.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-11	False	5404.7	17144.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-10	False	6822.6	17378.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-9	False	8364.9	17404.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-7	False	11136.6	17404.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-6	False	12510	17304.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-5	False	14108.1	17479.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-4	False	15506.4	17329.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-3	False	17054.6	17479.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-2	False	18552.8	17329.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-12	False	3995.1	18577.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-11	False	5447	18812.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-10	False	6966.1	18685.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-9	False	8389.9	18827.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-7	False	11247.4	18838
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-6	False	12736.5	18838
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-5	False	14216.2	18838
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-4	False	15695.8	18838
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-3	False	17169.9	18838
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-2	False	18635	18838
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-1	False	20070.1	18838
