"","coreName","Area.µm.2_Max","Area.µm.2_Min","Area.µm.2_Mean","Area.µm.2_CoV","Length.µm_Max","Length.µm_Min","Length.µm_Mean","Length.µm_CoV","Circularity_Max","Circularity_Min","Circularity_Mean","Circularity_CoV","Solidity_Max","Solidity_Min","Solidity_Mean","Solidity_CoV","Max.diameter.µm_Max","Max.diameter.µm_Min","Max.diameter.µm_Mean","Max.diameter.µm_CoV","Min.diameter.µm_Max","Min.diameter.µm_Min","Min.diameter.µm_Mean","Min.diameter.µm_CoV","chullLength_Max","chullLength_Min","chullLength_Mean","chullLength_CoV","chullArea_Max","chullArea_Min","chullArea_Mean","chullArea_CoV","elongation_Max","elongation_Min","elongation_Mean","elongation_CoV","FD_Max","FD_Min","FD_Mean","FD_CoV","convexity_Max","convexity_Min","convexity_Mean","convexity_CoV","curvMeanStat","curvMinStat","curvMaxStat","curvStdStat","n_protrusion_Max","n_protrusion_Min","n_protrusion_Mean","n_protrusion_CoV","n_indentation_Max","n_indentation_Min","n_indentation_Mean","n_indentation_CoV","MOI_Max","MOI_Min","MOI_Mean","MOI_CoV"
"62","L-6","145.6227","3.879","24.1774751011353","0.488217637123377","45.827","8.4395","18.2288982643873","0.236268963585426","0.9762","0.2241","0.866838209578494","0.109856997827196","1","0.549","0.991598642829179","0.0398473325555241","17.9583","2.9351","6.86965520031319","0.257863777166836","10.8814","2.0853","4.48695221192744","0.261917133387288","45.6328996370637","8.19854050526461","18.1767703607834","0.236494351679742","146.353943719215","4.32490111059948","24.3392325062339","0.483830103684771","4.03631523312919","0.42594371997275","1.45496974138678","0.330336371593067","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00038423891911","0.752427579164356","0.997198213892027","0.0155347281598263","0.436303941915574","-0.249096553418487","2.9925389262886","0.490123899227597","5","0","0.407151246248206","1.82441917481482","0","0","0","0","541.853224469354","-411.949739828647","-1.1270488681714","-26.9616838130713"
"63","E-3","231.3368","3.8163","29.1410072960095","0.639736038315194","57.6708","8.5549","19.7567504466945","0.299709375790908","0.9837","0.2342","0.865314458010721","0.106248220851918","1","0.5441","0.990726146515783","0.041107694625831","24.2056","3.0391","7.46770062537225","0.320267960011304","16.1269","1.7455","4.82469085765336","0.309496106616214","57.0231625083297","8.55457484323771","19.6916284787642","0.29880867849372","242.143438177804","4.84977550460121","29.3859539798796","0.637739601869842","3.86156825001809","0.404873635406827","1.4653229571692","0.316236275911876","1.48542682717024","0.953445297804261","1.07246953720926","0.0156660521542131","1.00012246107463","0.726295987006244","0.996964250858816","0.0163527342070539","0.41416987798337","-0.339646233794776","2.823572132428","0.472344882156977","5","0","0.403216200119119","1.79562620747183","0","0","0","0","771.582303741215","-3061.7869618298","0.440833419051309","163.0575082985"
"64","I-2","431.3318","3.9331","24.9430902913236","0.439599121042149","109.915","8.4831","18.387827770741","0.209630702502348","0.9847","0.2598","0.886892172260925","0.0884807187309969","1","0.5432","0.990283673210893","0.0420116554805001","34.929","2.9669","6.76584286257125","0.222987905004154","26.0536","1.6532","4.74812179227359","0.224722874969711","94.4588338813298","8.48241356757117","18.3287835902989","0.209401671158437","564.405093077591","4.6673525387971","25.1392810317649","0.447269694480055","3.1951953372387","0.436006954208716","1.31439649385209","0.254493005556381","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00014421474865","0.738343721172335","0.996796213452065","0.0155695316830568","0.422110751581533","-0.307152801284041","2.92745612998343","0.478672589931178","5","0","0.369031032298923","1.90298470985732","1","0","6.33312222925903e-05","125.658266739598","232.699927274088","-8091.05167762215","-6.16564310825285","-10.9334917107328"
"65","I-3","276.2932","4.2449","43.5692296992481","0.488851979313295","66.1635","8.0677","24.1713843531242","0.239205611684026","0.9861","0.2745","0.885746396162821","0.0991395609878698","1","0.5644","0.990888332901219","0.0416109450191035","26.1175","3.0298","9.0081754213119","0.252506935273114","14.7172","2.0782","6.07455040186674","0.265953661207643","65.8690804688614","8.06767646092382","24.1006733156578","0.239207180397908","285.291112352391","4.24506207799903","43.8901091087325","0.484689710503026","3.85909943978439","0.365360212228578","1.4171342812665","0.286225106467095","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00014938733076","0.778239862308066","0.997167836898409","0.0154190740580756","0.330653382517786","-0.293213883647617","2.26654145178874","0.373066857788818","5","0","0.276639875550946","2.27299557087919","0","0","0","0","1215.2704015241","-1877.82701133574","9.45861737565093","8.53513959017354"
"66","B-7","338.42","3.5025","16.1377671894273","0.736917533678272","82.9939","7.2044","14.9557749427313","0.297633283900691","0.9681","0.2153","0.852189110132159","0.1084929881069","1","0.5012","0.991029973568282","0.0392901731905608","35.954","2.5457","5.67182155066079","0.341449089783668","14.5045","1.8692","3.62794310132159","0.260682316879169","81.3631913845326","7.2043565358196","14.9050373959846","0.295611129929051","350.41502903399","3.5024467416007","16.293893966752","0.74276126346022","3.82349920504056","0.411376098179057","1.43267979110049","0.351269293536632","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00018559086965","0.715537154725204","0.997000004739197","0.0159647395660777","0.526392222915806","-0.312742430104646","3.52925049293909","0.583111526630477","5","0","0.528458149779736","1.47942829893048","0","0","0","0","1170.81597155287","-446.950921647286","-0.760412627042803","-46.8652739653598"
"67","A-2","311.0313","4.9589","27.1582639190569","0.556609665061374","69.5931","9.1385","19.2321345771837","0.260658414368108","0.9845","0.2216","0.862408344936415","0.107989819382228","1","0.5909","0.98928726445744","0.0439770437475828","28.0169","3.2299","7.24792946254525","0.272782309669306","14.5959","2.1219","4.71900815000464","0.287614103154561","69.4206645455018","9.13847470629127","19.1596369173338","0.260924609306535","319.167894963008","5.73537351020029","27.3990119402637","0.554181913041628","3.58537703415112","0.472424342649142","1.45715512824399","0.29761482450877","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00005704168852","0.757450854427026","0.996295682788459","0.0179766665157779","0.426163065178285","-0.352745184829971","3.27031161420576","0.524520887544733","5","0","0.459667687737863","1.6702648080523","0","0","0","0","1370.94947042161","-984.048807344878","1.08164340603622","37.2621773442643"
"68","J-4","147.8195","4.884","26.0880465478508","0.446025762873614","49.5349","8.8643","19.2728858918676","0.224746165899118","0.9855","0.2124","0.85295781039389","0.132040121314336","1","0.564","0.988943507563277","0.0447939429975443","20.6179","3.1457","7.3399522390295","0.25856226855322","12.9264","2.0193","4.59138112924966","0.244357119919378","49.4771852433975","8.86460077690755","19.1889310632846","0.222775000827551","150.232871640597","5.55453763759846","26.3577834562916","0.444074115731322","4.07441462904829","0.402279442802739","1.54787810645609","0.368438542643557","1.07342069416464","1.07342069416464","1.07342069416464","0","1.0002362497518","0.730303662518363","0.99617084097032","0.0192318583831163","0.416060110472492","-0.550058320407844","3.14507911182303","0.52139145677436","5","0","0.438370525685188","1.78286399697226","0","0","0","0","498.350491532542","-1240.99915644566","-2.73936529142322","-15.698953016625"
"69","A-4","128.6596","3.1879","31.6168914462299","0.513020769708786","42.5668","8.4693","20.5369619901112","0.252284377126036","0.9839","0.2954","0.882524289245983","0.0823108504061109","1","0.5666","0.994818998763906","0.0288880137771231","17.8308","3.0652","7.68701097651422","0.260431994116613","12.2582","1.8184","5.14031288009889","0.278878794251333","42.5469043250102","8.37063591720171","20.5052984251486","0.252319049782202","128.654494848399","3.72108428859859","31.7546123268297","0.511039866033956","3.22554757738613","0.373815302481381","1.41931745684969","0.27629343905392","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00014756127965","0.785274164470718","0.99849783336481","0.0109032123341532","0.386705230122878","-0.297815402854179","2.30379726647609","0.407072124708606","4","0","0.310754017305315","2.01346325187264","1","0","0.000123609394313968","89.9444272870755","572.819299169639","-555.142824956303","1.39307289099221","31.4955768337872"
"70","L-3","1583.8832","3.8811","32.1930518925203","0.943062089239669","301.3084","7.8996","20.5742777418938","0.347278807935591","0.9853","0.2192","0.870801873143005","0.103363243726301","1","0.5514","0.990568285751195","0.0412978364832956","74.1581","2.7402","7.75267893037075","0.349465359700735","49.0226","1.9971","5.04448519571115","0.324544111045455","200.596443486799","7.89943637395245","20.4991659551978","0.327328019725723","2872.31482192928","4.40866665300166","32.5835512324228","1.24853013324639","3.77029514131389","0.398851630684503","1.44468525250387","0.302466714041742","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00032639360854","0.665751248510825","0.996839907309063","0.0166187816643743","0.398186135062684","-0.401855608612216","2.76150007328348","0.457812660394","5","0","0.354863712698618","1.96622986540376","1","0","0.000129182276191707","87.9829528942965","167597.594831472","-2345.92982074713","15.4699155998962","125.531246012421"
"71","G-2","187.0329","5.3986","40.9768636750923","0.510399544788165","57.3434","8.7899","23.4799751491054","0.250497826037569","0.9852","0.2396","0.881310536779324","0.101260748846673","1","0.5478","0.993761431411531","0.0317845158538581","24.589","3.0943","8.82537761999432","0.269420676258196","13.5752","2.1305","5.80505932973587","0.277724791977767","57.3161778901139","8.78974313816628","23.4330036139481","0.250033388374215","189.922815939806","5.39848721400031","41.1962757945605","0.50844972623175","3.83941905150967","0.4576465977924","1.46979772630594","0.319297385176791","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00016452958043","0.768371494879504","0.99816091644304","0.0126382258506919","0.338233460863933","-0.340979690870375","2.13961329841377","0.364453883914917","4","0","0.254189150809429","2.36816528431927","0","0","0","0","1114.15894874152","-1049.98154930694","-2.97824601139486","-29.7234748977845"
