"","core","TMA.set","Kcross.Cancer2lympho","Kcross.lympho2Cancer","Kcross.Cancer2Stromal","Kcross.Stromal2Cancer","Kcross.Lympho2Stromal","Kcross.Stromal2Lympho","cancer ratio","stromal ratio","lymphocytes ratio","lymphocyte.dens","cancer.dens","stroma.dens","cancer.to.lympho.avgCount","lympho.to.cancer.avgCount","cancer.to.stroma.avgCount","stroma.to.cancer.avgCount","stroma.to.lympho.avgCount","lympho.to.stroma.avgCount","ShannonH","DoC_TL_max","DoC_SL_max","DoC_TL_min","DoC_SL_min","DoC_TL_mean","DoC_SL_mean","DoC_TL_Std","DoC_SL_Std","DoC_LT_max","DoC_ST_max","DoC_LT_min","DoC_ST_min","DoC_LT_mean","DoC_ST_mean","DoC_LT_Std","DoC_ST_Std","DoC_TS_max","DoC_LS_max","DoC_TS_min","DoC_LS_min","DoC_TS_mean","DoC_LS_mean","DoC_TS_Std","DoC_LS_Std","localized_TL","localized_SL","localized_LT","localized_ST","localized_TS","localized_LS"
"int10","H-7","963","5995.888197091","-2413.12255627656","7948.53822232643","-453.936412892701","9342.53694058908","965.971911547036","0.552036199095023","0.13598475827578","0.311979042629197","7823.85877959523","13844.0493519861","3410.24684209838","90.6206106870229","51.213977566868","89.2101576182137","21.9762726488352","25.9160305343511","59.4570928196147","1.36246979587174","0.939901664242424","0.960534476893599","-0.884218870050644","-0.846776160670245","-0.0863952172735879","0.12330763599764","0.516601468579202","0.459566105595857","0.935838503884434","0.938125280667028","-0.892341509945855","-0.871632575375539","-0.0997092410006629","-0.0174890722158953","0.443966611484354","0.430041997845861","0.936622081126017","0.963376294872575","-0.864703763786405","-0.858264960147774","0.0807857630207601","0.0840052842186932","0.523713778267313","0.49497476547","0.0473644003055768","0.0374331550802139","0.0220112214069918","0.0220112214069918","0.0596491228070175","0.0526315789473684"
"int11","B-4","963","6592.53526572534","-1782.86336049161","7551.30750713521","-814.62575766736","11099.5287609687","2645.09689120721","0.458162668227033","0.0500292568753657","0.491808074897601","10326.0874574877","9619.66267604153","1050.42293588959","69.6745984533016","74.7911877394636","72.6666666666667","7.93486590038314","9.48364069006544","93.2280701754386","1.19001092963958","0.913451443701035","0.894088544045275","-0.897441638569863","-0.840203193828792","-0.081232121952715","0.00980599155298894","0.448677307719137","0.356903545606917","0.924190000581642","0.919031500107526","-0.889887414587839","-0.737349361371214","-0.0249395563720167","-0.00797504038817253","0.431426867560769","0.357199991759433","0.924031396489552","0.920105957298598","-0.74950454781651","-0.835223590268471","0.019491348807951","-0.00207959736862108","0.502283120550503","0.494040428523568","0.0119047619047619","0.0208333333333333","0.0108626198083067","0.0383386581469649","0.0352941176470588","0.0235294117647059"
"int12","F-1","963","10387.7286381607","2046.84911566792","10813.9547611199","2644.37116186842","11154.7716910392","2949.78581191297","0.435152582159624","0.12881455399061","0.436032863849765","9985.50068935481","9965.34153587697","2949.95612559001","64.6184387617766","64.7491571139582","63.1958997722096","18.7073499662846","18.3916554508748","62.255125284738","1.42002337385569","0.951089408970037","0.945624501950913","-0.873495258380612","-0.851093823127367","0.198528230740922","0.1801746935438","0.496775041050125","0.456038847986367","0.947572670308266","0.95811117793692","-0.88702341171123","-0.864482150024901","0.142621617731462","0.152580354468038","0.502966591754311","0.4412261201898","0.951313670287147","0.941237536597499","-0.754142858179621","-0.892746049381561","0.271786284382152","0.201038124362156","0.465579468069836","0.488455338167471","0.0727272727272727","0.0410774410774411","0.0593792172739541","0.0411605937921727","0.0867579908675799","0.089041095890411"
"int13","B-2","963","6727.8115354568","-1691.6335898207","9312.05552728265","955.472964891145","16755.6765806528","8395.53321136406","0.276114844227245","0.0724903278354714","0.651394827937284","17309.3377965088","7337.12474275271","1926.26578792033","63.492341356674","149.788348082596","59.1067415730337","15.5184365781711","16.956548921538","152.370786516854","1.09888321742453","0.933697169473619","0.973864877118155","-0.925636923234094","-0.925078098716638","-0.0975675959001477","0.162444669004093","0.484577637156217","0.438717720967714","0.935614723285217","0.921297289464077","-0.935638487218175","-0.816843177375904","-0.00416495599347287","0.0179528609112701","0.473916138014597","0.403338282810424","0.917043782176565","0.96354053558373","-0.716144305979332","-0.905153339667357","0.120040832618446","0.16743147981463","0.474930705480235","0.527106532218672","0.0203252032520325","0.0365853658536585","0.0265682656826568","0.033210332103321","0.0563380281690141","0.0816901408450704"
"int14","C-5","963","6117.24404315429","-2274.11715015431","11236.3508768806","2791.85421642603","10722.6362009388","2275.46508815896","0.39385866517106","0.0393998878295008","0.566741446999439","26342.900744204","18307.0777314371","1831.35950250404","137.943097476497","198.493414026344","144.071174377224","14.4122463510146","13.6971796140524","197.024911032028","1.15997534585816","0.940787379996057","0.967606792081917","-0.9292999172621","-0.910198165813444","-0.13760743237429","0.0652790392881998","0.523847486275648","0.451920407081195","0.952110872352346","0.958489858344837","-0.930479849364283","-0.862977962280462","-0.135711494108549","0.0773853622954478","0.502010603942143","0.4132866354709","0.959662445042229","0.967606792081917","-0.884669223384933","-0.890411249165326","0.253257383803177","0.178224704093897","0.484275706429153","0.538855943864196","0.0277159119029943","0.0613709477852017","0.0224358974358974","0.0313390313390313","0.107142857142857","0.132142857142857"
"int15","A-9","963","8959.95157584886","526.557655663026","11929.2969339482","3582.60929211631","11994.5202085844","3806.85986440256","0.480128893662728","0.0812746151092016","0.43859649122807","6194.85172324014","6781.46625376737","1147.94395198001","56.9722448979592","52.0447427293065","54.5066079295154","9.22669649515287","9.89877551020408","53.4185022026432","1.26866559517808","0.920436245160462","0.95426867311554","-0.909348105010554","-0.768942846093467","-0.00166645060974314","0.033342546340366","0.483805116937382","0.41046177311023","0.940931314606626","0.948639798287199","-0.910816382993472","-0.93905356658196","-0.0358270969506032","0.0592241028104071","0.507264898071276","0.419597700900189","0.946447803691996","0.951437015331814","-0.814224693682848","-0.845238436135692","0.167189111790373","0.201245618788894","0.485278652200483","0.50492505281523","0.0236928104575163","0.0269607843137255","0.0380597014925373","0.0283582089552239","0.0929203539823009","0.115044247787611"
"int16","B-3","963","7792.69096260355","-569.396928946207","6856.78276563983","-1548.36526706742","9235.94327689696","757.75601390982","0.608851285388871","0.0546697038724374","0.336479010738692","4854.16730611284","8783.50776570321","788.684823430326","68.2514506769826","37.7188669160877","64.6547619047619","5.80545163014431","6.05125725338491","37.2440476190476","1.17601878946677","0.911280495001187","0.924227056682128","-0.861262669647479","-0.721645547587605","-0.0371034829018182","-0.0446088841339833","0.425530390773986","0.353548960400426","0.921495180030808","0.903002611770339","-0.845182401504652","-0.847361910285053","-0.0146669852399607","-0.0497102241235906","0.40253624981135","0.338067305017697","0.939802091246873","0.938358968863812","-0.850386478018407","-0.73810220981379","-0.0690089347413206","0.0122375149974145","0.483199019246119","0.465999099292744","0.010648596321394","0.0571151984511133","0.00909090909090909","0.0614973262032086","0.0119760479041916","0.0479041916167665"
"int17","C-8","963","6169.60794561234","-2219.87933043615","6599.9950000025","-1776.77236225091","10629.8821246845","2223.77012286728","0.55952380952381","0.113240418118467","0.327235772357724","8010.63343659105","13696.9748290248","2772.09142881145","81.0967169476486","47.429164504411","80.2717948717949","16.2459782044629","19.0381543921917","55.0153846153846","1.32532263911273","0.923555401138121","0.914819474872234","-0.884048658607315","-0.806516103425635","-0.108473224449358","0.0284471139115498","0.469073076986153","0.402474921798051","0.923555401138121","0.900087600730178","-0.896594413846142","-0.872837462646297","-0.0479969615094721","-0.0301471487499136","0.43640758720332","0.395264407881476","0.88663516954204","0.919638781682898","-0.889569171195427","-0.81574380047459","0.0277526668700112","0.0355447997551429","0.485748217627338","0.462598061429733","0.0150976909413854","0.0106571936056838","0.0109034267912773","0.00155763239875389","0.0205655526992288","0.025706940874036"
"int18","I-8","963","7228.63618558343","-1267.57566836946","6893.2285612477","-1501.50305272893","10233.040156037","1865.66525881703","0.482327181732875","0.158273381294964","0.359399436972161","7037.96077487927","9445.20062216174","3099.39786952908","56.8424717145344","42.3553826199741","57.6264822134387","18.9098573281453","20.5152306353351","46.5849802371541","1.43489431894718","0.941780551949368","0.933867689437388","-0.888669895364385","-0.813831192170764","-0.0279145563872237","0.147272979752442","0.517131704783116","0.442257827998534","0.94539816629468","0.940347795228836","-0.887770800410366","-0.825176596255167","-0.00833615358834728","-0.00505145532641619","0.480222160860841","0.426023830863587","0.940583332991241","0.938484939654809","-0.817345845656779","-0.777938452477518","0.0192568769061668","0.136926023160568","0.480660160771352","0.466852049271074","0.0339721254355401","0.0662020905923345","0.0428293316028553","0.0285528877352369","0.0356435643564356","0.0594059405940594"
"int19","D-9","963","6764.28172189533","-1632.76994558392","7260.09749324899","-1056.50868343498","10756.1105764499","2411.68309394465","0.689777963971512","0.0249266862170088","0.285295349811479","7272.94746760323","17584.2995674137","635.448420444042","147.030837004405","60.8135438809596","144.008403361345","5.2040692377771","5.5726872246696","63.781512605042","1.01280992587731","0.884522457429655","0.88221896205475","-0.89856449979336","-0.694832942869144","-0.0986084370942294","-0.000982906743036383","0.437315343494801","0.356710796823167","0.888795710494342","0.924199573308804","-0.878083015855444","-0.815214166848944","-0.085100203990475","-0.0217598214259349","0.395388365902213","0.306489848785491","0.932576004486829","0.927879908838004","-0.79993181213287","-0.724130937078874","0.0663758364323352","0.105720260429611","0.476954616847826","0.504996492227848","0.00734753857457752","0.157972079353417","0.00303766707168894","0.154313487241798","0.0508474576271186","0.0593220338983051"
"int20","A-5","963","13584.4912507404","4891.10001899838","14206.8353816948","5509.78966109164","16809.9429114482","8521.89586164488","0.538779402415766","0.134456452638271","0.326764144945963","4857.59411049022","8009.35993898923","1998.79602017253","74.0068093385214","44.8843657817109","66.7872340425532","16.6666666666667","17.1867704280156","41.7683215130024","1.37175033287005","0.930490875125051","0.942201194127191","-0.916095639676595","-0.86635362944568","0.0758421998025568","0.139586564283617","0.514002840641663","0.438002684042658","0.947824369289075","0.950636124920605","-0.869354203596496","-0.917109283670173","0.0791279521491903","0.0757507162869643","0.485005199546947","0.451087149141747","0.949178774617795","0.945013735005183","-0.920942510928414","-0.818308796790797","0.126843571466151","0.139400626563821","0.509153904888769","0.486627077890363","0.0506329113924051","0.0486854917234664","0.0625737898465171","0.0312868949232586","0.0663507109004739","0.0592417061611374"
"int21","G-10","963","6898.13155966206","-1496.439444727","10671.2642351357","2406.40928127457","9061.15636271238","617.352191195256","0.357592722183345","0.0536505714952181","0.588756706321437","13192.2127442297","8012.54442825045","1202.14299967228","55.0756735340729","90.6797129810828","55.7826086956522","8.36921069797782","8.12440570522979","89.1608695652174","1.17666617611984","0.936610304127714","0.922193595644624","-0.875919863796","-0.829130470410416","-0.0287505140716929","0.0363657064504195","0.452378768681805","0.379038276079549","0.936448664870257","0.940130682066008","-0.901866056827928","-0.811421674304744","0.0230461634201406","0.0418081662223657","0.485465160913328","0.39375971490896","0.938217827835165","0.919119062353117","-0.807964129814229","-0.840275370239006","0.150099447564556","0.103733568617284","0.484521897572825","0.528204191767844","0.0150614347998415","0.0400317082837891","0.0274151436031332","0.0391644908616188","0.0698689956331878","0.074235807860262"
"int22","E-8","963","6682.31071677926","-1696.37881548543","9836.98789029615","1431.49000805803","9897.83392286417","1525.79283633079","0.458333333333333","0.0787760416666667","0.462890625","9739.23004436176","9643.34451649884","1657.44983877324","79.5564932020628","80.3484848484848","73.7217630853994","12.670928030303","15.8527894983591","93.1487603305785","1.26909813484269","0.939083649902857","0.955638593852096","-0.922692468521907","-0.835866333508378","-0.0426628835795846","0.0172049190407885","0.44175497331134","0.408081921549104","0.939200047321001","0.921902533422611","-0.897528128471309","-0.73836021449973","-0.0674748025280374","0.0397819112742083","0.437782409093616","0.369757743021536","0.936151696350185","0.949950268888691","-0.812124632674462","-0.84617643056893","0.150538927148718","0.0350171708348297","0.442865196945915","0.502521038772573","0.0145403377110694","0.0206378986866792","0.0113690194220748","0.0189483657034581","0.0386740331491713","0.0497237569060773"
"int23","L-10","963","6527.06458577159","-1920.81532865125","7961.34667963232","-421.913155952778","9259.66881693061","909.288999313459","0.038936339430824","0.0284242193713476","0.932639441197828","136741.735858702","5708.7684763968","4167.5023868545","35.7102814133699","855.354351687389","35.2347931873479","25.7229129662522","29.7913314300545","977.452554744526","0.418131791870489","0.953869232404241","0.963041647798948","-0.963757235032234","-0.913729450605956","-0.213307133770866","0.0730837719389995","0.416081585512817","0.407483265021255","0.95305443139387","0.94860649352696","-0.939704977526327","-0.81408349974561","-0.101419683323523","0.0928668969044367","0.579539620099964","0.433439463981336","0.940364931595094","0.964137537657739","-0.820553365785097","-0.908687057891981","0.0204913002761604","0.165067358387096","0.411822872049436","0.491401671964412","0.0139043381535039","0.0188357434186133","0.0782222222222222","0.0248888888888889","0.0158343483556638","0.0767356881851401"
"int24","C-6","963","6815.27727202163","-1564.04850542411","7064.47010738577","-1334.30220650457","8399.25081496791","28.2681212248553","0.581267217630854","0.108248257980878","0.310484524388268","7624.99980022779","14274.9865779839","2658.40285310656","127.218162839248","67.954000557569","122.965568862275","22.8988012266518","26.7186847599165","76.6362275449102","1.31988427675297","0.928565530795966","0.91109280206033","-0.8799249902243","-0.786364066114579","-0.0707585916965414","0.00598952953096652","0.457536042191181","0.402038174348037","0.926869600080389","0.967479976409807","-0.884242515908812","-0.8899918254558","-0.0478566013202734","-0.0359821672625738","0.419257770359179","0.391093748691463","0.956253056214604","0.92349511489268","-0.898387974752553","-0.835939536316782","-0.057750086616254","-0.0447734209502653","0.474259025694568","0.423754571488919","0.0151436031331593","0.00678851174934726","0.00697155605131065","0.0108756274400446","0.0284857571214393","0.0164917541229385"
"int25","J-5","963","14068.4999078161","5835.33376705588","8608.56993459875","272.157677624884","15919.3282169546","7401.70527478203","0.62736302467158","0.151874399231016","0.220762576097405","3284.02016446508","9332.5275501054","2259.25334971908","93.0609579100145","32.747191011236","67.1308016877637","16.2517875383044","16.2438316400581","23.6118143459916","1.16518081724975","0.943257900354948","0.950942166255167","-0.861169348159896","-0.697592830531836","0.280910830956224","0.24750254993288","0.493133090722114","0.462512830599092","0.946073595579889","0.945427911763509","-0.858563222206404","-0.862972530427178","0.124939955794116","0.136942630882732","0.464892562616182","0.426974578711865","0.946773667604892","0.950363933985778","-0.877719007838183","-0.580745331314831","0.216486950985174","0.157976241313029","0.490978072400001","0.450315188332458","0.113372093023256","0.0813953488372093","0.12621359223301","0.086356668369954","0.0930232558139535","0.118393234672304"
"int26","F-10","963","12662.2687267385","4294.611428965","17210.0422052271","9076.80062293867","24029.6462294944","15299.3629490717","0.476386036960986","0.127310061601643","0.396303901437372","2738.83382935232","3292.27693476549","879.832629118363","25.3626943005181","21.0977011494253","26.4516129032258","7.06896551724138","6.94300518134715","21.6129032258065","1.40493237799814","0.913951267359763","0.950795804653777","-0.751742030158327","-0.641854918531369","0.123161819388366","0.163594147070514","0.451602919696843","0.434619040569125","0.926053611913637","0.941613425520785","-0.842431898004857","-0.724323546521533","0.0994951855008559","0.0602895875428632","0.439469138427295","0.405829334660188","0.925023745421184","0.947974452117712","-0.7184899624944","-0.652585939519096","0.144581999650917","0.277079251765348","0.480103536964666","0.453809192858384","0.0346020761245675","0.069204152249135","0.0330935251798561","0.0877697841726619","0.0594594594594595","0.0810810810810811"
"int27","L-2","963","6177.78388684988","-2188.24328577504","8256.79923286394","-114.410477135015","27657.3480975134","18351.1854212736","0.930587557603687","0.0380184331797235","0.0313940092165899","403.52545905129","11961.3831027038","488.673032979544","96.5504587155963","3.25719591457753","101.727272727273","4.15598885793872","4.48623853211009","3.70454545454545","0.429778224714487","0.927504033770136","0.922813204883305","-0.811411873534434","-0.61479728714645","0.00407749464949205","0.0831968059894088","0.542975553949893","0.455656674344284","0.917807238418945","0.917100392955116","-0.811420825332674","-0.807843800430557","-0.0796203801287985","-0.0476806059340555","0.300322533390532","0.321396881729036","0.902374036105423","0.922813204883305","-0.792709297179254","-0.58676612324004","0.070090146692201","0.0330148311816385","0.528665350419491","0.451009736439615","0.0462962962962963","0.0833333333333333","0.224458204334365","0.178947368421053","0.0305343511450382","0.114503816793893"
"int28","A-8","963","7655.09455743013","-714.63097499144","9145.48502140259","773.494450627171","9617.20334092877","1224.30286826967","0.81967863519143","0.0468161079150962","0.133505256893474","3336.1090332536","20482.6189084753","1169.86884375609","160.378900445765","26.1217328170378","165.588983050847","9.45764762826718","9.34175334323923","26.6398305084746","0.825704483493198","0.913377254989136","0.957665430989874","-0.860231213499912","-0.702182531672502","0.00881034530594458","-0.0179800099962935","0.460291419960591","0.392048836092235","0.917766776098381","0.903799645807445","-0.892342838702171","-0.843779344345539","-0.0121380392844478","0.0201973852124267","0.390256680264511","0.360221761159308","0.92083855968146","0.943540572125717","-0.889079153375675","-0.682617110605283","0.111229244287578","0.038452849341842","0.507094697867095","0.45166232839141","0.0148809523809524","0.0148809523809524","0.00314693778746066","0.00435729847494553","0.0340425531914894","0.0170212765957447"
"int29","F-3","963","5846.25220811641","-2528.24856539583","8133.37996373267","-247.854665246343","8825.4532604384","453.381523295095","0.478268979667972","0.0654728595411304","0.456258160790897","22266.7615362306","23340.9552652883","3195.2711771124","166.544358135732","158.880850234009","176.206552706553","24.121879875195","23.3248160261652","162.545584045584","1.27693068418005","0.947599071479731","0.943683036175759","-0.943405532805533","-0.941769552399294","-0.270099507819529","0.0597167517669602","0.483830143533934","0.446620436129868","0.947599071479731","0.943833727878253","-0.939812573598221","-0.88976099847183","-0.239428275445251","-0.0448722729304339","0.458905208261022","0.404410376206928","0.93124370271242","0.947548419032008","-0.925983161141084","-0.930490875125051","-0.00379807549471214","0.0272451077908742","0.503760381661095","0.529941819358014","0.0110406869760785","0.0235125741157228","0.00994733762434172","0.0132631168324556","0.0285306704707561","0.0513552068473609"
