TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,P53_P16.AUC,Ki67_Cyclin.AUC,GATA3_CK56.AUC,Her2Neu_CK56.AUC,CK20_CK56.AUC,P63_CK56.AUC,Her2Neu_GATA3.AUC,CK20_GATA3.AUC,P63_GATA3.AUC,Her2Neu_CK20.AUC,P63_CK20.AUC,Her2Neu_P63.AUC,P16_P53.AUC,Cyclin_Ki67.AUC,CK56_GATA3.AUC,CK56_Her2Neu.AUC,CK56_CK20.AUC,CK56_P63.AUC,GATA3_Her2Neu.AUC,GATA3_CK20.AUC,GATA3_P63.AUC,CK20_Her2Neu.AUC,CK20_P63.AUC,P63_Her2Neu.AUC
J-8,148.3107407,354.6935694,2760.707017,349.9676731,687.4458068,15.19119794,0,5.95338027,1402.438809,0,29016.88872,8939.250951,14741.92037,18477.47156,31716.55474,8721.354333,7772.780072,5292.900805,14586.57289,17295.85812,11550.8569,0,21681.56633,669.2919089,6484.919087,10486.15222,24878.63143,414.4413486,-635.1569786,-3084.784324,6239.862133,8173.939911,3201.04458
J-12,3779.523515,3844.185168,0,1806.51102,3926.067897,14.4622965,561.6885221,1909.248302,2.036054038,14232.98402,9299.942137,9270.380635,0,0,12114.25591,0,0,11628.40689,0,0,0,3098.895813,917.2716337,870.1575874,0,0,3712.415538,0,0,3253.096158,0,0,0
F-10,727.4669113,1540.946815,33.3164863,363.5580898,148.9356404,410.2735675,20.06697649,108.7537766,74.76487841,72844.58148,20367.69787,19350.62026,79773.71225,109835.2202,78685.78544,23698.82274,19342.28766,22323.91705,173764.8348,182404.0901,138355.4076,66087.02097,12950.45302,11144.43998,73107.16326,102944.0853,71319.66425,15674.1374,11292.94779,13436.48548,162069.2538,174121.5445,127498.5943
J-3,4.759473464,153.1124424,3.291305556,36.51281562,290.7697161,10.46786348,185.2314135,98.77306487,18.59162261,0,6586.85954,18441.90327,0,0,69700.07822,36083.24978,148825.7546,175958.4316,0,121736.1135,39069.65202,-8377.685129,-1790.825589,16290.4468,-8377.685129,-8377.685129,42376.7115,35806.81059,155979.3416,170430.5188,-8377.685129,112888.0164,33126.24557
I-11,969.866503,2883.135728,555.2838535,1244.007943,1746.92864,5205.2802,993.0186914,1859.172137,420.1387124,16148.90085,14430.25681,16148.63553,24597.21998,25824.8309,27006.09025,23497.35805,17382.77647,18471.49812,23155.76696,27052.81987,28359.06907,7775.896348,6044.204989,7765.426291,16236.76529,17483.99002,18649.42349,15093.83424,8978.476133,10116.95625,14778.39511,18676.86701,19972.27034
D-7,1097.928259,2931.142622,7.769916349,1621.201153,1022.671168,4084.893127,2381.57765,898.1524904,2459.261181,15123.20406,7860.83958,14363.05083,12572.85726,21184.83614,24250.90818,13059.3026,16552.29596,18749.70068,14765.98823,26321.27583,5873.65689,6768.627356,-496.6336374,6055.629878,4218.073724,13461.98637,15992.83601,4649.031199,7362.540806,10404.96279,6726.690065,19637.07004,-2517.071413
K-8,426.4196729,875.2003922,1.522215286,645.6920075,3881.529323,221.1137377,124.7344382,505.3226076,98.58038214,44285.36011,9426.698093,11602.35786,21764.66786,49563.09014,23235.86065,38749.03817,0,15213.63695,0,0,34555.15496,36021.72266,1225.213415,3356.805005,13601.82995,41185.40501,15035.89784,30371.35304,-8377.685129,7023.428244,-8377.685129,-8377.685129,26157.75061
J-10,1914.582739,7598.648204,47.21607677,992.9250593,7066.586815,2.1138552,2548.422426,6816.433269,902.5122377,11592.09569,13656.02368,11564.47712,4035.489145,2739.770257,13012.279,14233.94231,6156.02988,14492.50857,10855.24224,5358.329007,13966.21092,2907.58762,5300.693427,3164.123959,-4382.653922,-5672.376548,4639.641251,5462.644757,-1910.682336,6135.60088,1743.180692,-3112.567775,5274.708591
E-9,2876.141204,5098.755329,6.315718339,1630.896916,1089.722339,4719.940842,3648.147009,122.4830965,5058.525509,17514.70388,11040.42047,9676.544336,10193.24671,21743.97394,22194.52905,12236.4689,3636.534367,9128.553384,10445.58133,46798.11347,10062.42183,9135.045704,2753.108876,1279.8815,1815.991645,13560.79837,13236.59354,3857.725981,-4741.150762,488.832682,1997.442104,37618.10021,1829.028983
C-11,96.09771215,338.487445,0,69.58024297,696.7190948,341.7059395,1.145626023,75.55619531,42.4827453,0,43931.66264,157584.5896,327310.9926,0,379664.5093,178964.4183,0,131620.4716,0,0,238370.4046,-8377.685129,33470.42373,156794.4165,325057.0737,0,382160.5552,169229.8333,0,117117.7564,0,0,235545.6923
J-9,2316.475488,1926.779856,0,1539.389402,10194.39331,1.704792649,4622.013351,1747.091863,322.8240831,0,9402.834533,25907.06589,20516.27698,0,34965.30153,33756.15199,0,37336.44072,0,0,34601.36536,0,1033.356191,17166.22192,12595.21753,0,26482.67069,25390.43161,0,29045.94842,0,0,26011.65435
C-3,304.768788,2951.852239,161.1618847,171.3512333,7.373913454,3471.664788,2331.612468,40.86694594,632.423321,12470.42295,0,3802.454843,24260.06054,180799.7036,90979.93912,12728.27136,6446.174205,6755.908674,19282.77007,23452.96916,41356.51865,4090.835912,-8377.685129,-4606.653534,16181.96207,175027.17,86750.07527,4403.265843,-2045.152594,-1466.137126,10363.09428,14242.49053,33081.4668
K-2,1045.10788,13.32877193,0,2941.73171,2130.420074,1054.323592,844.0587201,1725.399529,1.404632873,33878.71349,17679.03722,8721.213966,3725.837737,0,18035.27706,0,0,5776.395997,0,0,8501.165408,25527.37502,9300.321906,536.7158373,-5429.401808,0,9743.700151,-8377.685129,0,-2569.465591,0,0,382.2343544
D-6,2209.66145,4749.684071,245.6370351,2891.477898,808.5668507,6200.712791,4764.353497,794.8419043,4842.08917,10043.42904,8699.330424,8889.052994,9348.958789,8738.89719,10875.86111,9901.984415,6608.920532,8754.499449,1878.281771,20425.701,4293.784115,1682.198862,256.7869241,542.1765035,972.6331366,475.0177078,2547.605591,1511.125083,-1778.973894,348.3287241,-6514.607577,12201.89891,-4113.514379
G-12,480.8072033,604.8220199,0,1483.667642,1117.155562,1604.461249,859.9068991,570.7596405,19.77078195,31001.64416,17135.34265,20864.72651,5648.381974,0,34568.14134,10087.60951,0,22367.01217,0,0,7547.566975,22628.30249,8713.906965,12449.49776,-3919.36997,0,26263.48957,1709.924376,0,14072.2495,0,0,-1843.376398
