TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
A-5,7949.235942,10000.43752,7949.235942,0.188444973,28.3517166,6257,60.66244186,704.9612143,13.12060752,0.853922684,198.5210948,13315.54,0.49,2.377167564,-0.043595787,0.000243743,4.928544673,4.81454561,0.108834514,2.537295689,40.86720041,0.002627244,-0.00948926,0.210369638,14.86831251,3.084660432,181.1780924,-0.022422525,0.000706215,5.770423992,5.179459444,0.125241569,2.664354381,50.58757062,0.003678974,-0.006543299,0.234999722,17.71610169,3.268514132,257.6034315,-0.055321642,0,3.964535698,4.5240669,0.080946386,2.335666248,26.03826412,0.001588734,-0.011785603,0.17774673,11.43305102,2.881340254,112.6630672
G-10,8412.511949,12223.06095,8412.511949,0.38912682,20.90683478,8527,50.97169434,698.3858425,9.448533818,0.566457692,112.1085593,3663.555,1.74,1.217262707,-0.046679305,0.000126572,5.449328132,4.941614759,0.100206132,2.615218865,48.29223425,0.002159436,-0.009601049,0.20706069,14.84166814,3.171393129,180.4903913,-0.027702817,0.000506286,6.324574961,5.425499776,0.14691937,2.754329892,61.26120556,0.004140375,-0.004110614,0.258424016,15.41011841,3.322074386,193.4757397,-0.056672147,0,4.251883746,4.143471032,0.075480028,2.392002128,34.80516685,0.001223419,-0.016543083,0.14866136,14.20331863,2.89800708,164.2716964
E-8,5450.247494,6589.439372,5450.247494,0.139957036,18.26391007,9167,51.6014548,1414.98467,11.22451895,0.65522547,114.9426535,3349.685,0.1,1.154334749,-0.02852949,9.71E-05,4.701002779,5.047908591,0.096595102,2.526430947,36.56981707,0.002575838,-0.006071454,0.172865188,14.92910635,3.107802916,174.4952509,-0.020689294,0.000163145,5.293311811,5.250800656,0.106696872,2.63040472,43.84252093,0.002920139,-0.004813083,0.195086696,15.4916858,3.219873742,191.6977652,-0.040411542,0,4.418098031,4.785990998,0.08294448,2.481942886,32.94850508,0.001807214,-0.008074674,0.158162279,14.20886947,3.05377315,155.4909863
L-10,21537.85088,34904.49803,21537.85088,0.59413768,20.27981697,57793,19.20651856,1091.180487,7.956295756,0.966742193,18.880784,20173.965,0.53,7.276653132,-0.050202015,9.13E-05,5.150579303,4.878069349,0.109820133,2.548802569,43.46640242,0.002385467,-0.009007797,0.201033536,14.74470016,3.097664104,176.0986756,-0.022342381,0.000365226,5.55418057,5.566282204,0.131597376,2.674547946,50.11274131,0.003470366,-0.003734554,0.234815086,16.16130228,3.287912068,211.8285248,-0.07865053,0,4.105648631,4.518179643,0.070696455,2.418188081,29.45765815,0.001634397,-0.012429013,0.143565656,12.93359073,3.003481228,140.84313
C-6,5231.238039,5231.238039,5231.238039,NA,3.97964499,12282,47.96866067,595.7798459,10.02158127,0.476027954,99.15937714,2506.465,0.525,0.964423177,-0.019645489,0.000107192,4.37843067,5.059397506,0.099056751,2.479035634,33.00617256,0.003000656,-0.005617428,0.167626177,14.35025471,3.066014927,159.0683815,-0.019645489,0.000107192,4.37843067,5.059397506,0.099056751,2.479035634,33.00617256,0.003000656,-0.005617428,0.167626177,14.35025471,3.066014927,159.0683815,-0.019645489,0.000107192,4.37843067,5.059397506,0.099056751,2.479035634,33.00617256,0.003000656,-0.005617428,0.167626177,14.35025471,3.066014927,159.0683815
J-5,6944.305298,9907.461889,6944.305298,0.282918152,23.83178639,6196,59.11832311,528.9004678,13.73480365,0.673907734,174.4294868,5262.67,1.42,1.602806699,-0.05772835,1.52E-05,4.332603723,4.265053096,0.145900131,2.298019313,33.36875432,0.004380344,-0.01430996,0.235161368,13.9642426,2.80340378,157.179688,-0.039874495,7.58E-05,6.102016607,4.890963244,0.231889789,2.702787049,54.76631079,0.008632875,-0.006443036,0.268088004,16.27283511,3.245543699,217.7165469,-0.081181714,0,2.965970149,3.138033953,0.093997795,1.782549636,14.94925373,0.0013287,-0.023488842,0.176252964,12.30086113,2.16830484,107.2838413
F-10,8250.612238,10831.75105,8250.612238,0.175196445,42.57254657,2878,85.62186901,621.322366,15.86466429,0.736639767,356.4930681,17015.955,2.525,2.14504815,-0.047548551,0.000743762,5.254919699,4.8933822,0.101128748,2.589764784,46.15239715,0.002222945,-0.009719978,0.213407642,13.93019374,3.133188494,159.7323339,-0.037381429,0.005540166,7.327793167,5.19415156,0.132067933,2.870248415,84.19575254,0.003793662,-0.006183841,0.247164132,16.37857802,3.361508907,242.4937495,-0.070883412,0,3.785854617,4.393635083,0.084259393,2.321320432,23.81532417,0.000728231,-0.014244878,0.177741963,12.03368541,2.883390488,124.4517765
L-2,5024.624942,8124.406826,5024.624942,0.267196668,66.63723177,6901,67.28923199,569.0422737,17.21061161,0.47390322,193.7049065,3975.545,3.9,1.010908235,-0.041004997,0.000217809,4.142986284,4.692443465,0.110723898,2.371106108,29.69905493,0.003565545,-0.009607727,0.208123104,13.1189519,2.941625891,131.6117382,-0.022268411,0.000948767,5.316304811,4.94485697,0.145194697,2.603695212,44.61132397,0.006070588,-0.005869407,0.25323909,14.63559405,3.168057924,164.5671076,-0.063578837,0,2.956366874,4.107131504,0.094609632,2.102366438,16.49976026,0.001992546,-0.015704299,0.169295549,11.57695733,2.679675719,94.89826554
A-8,5406.757131,5406.757131,5406.757131,NA,4.957071372,10029,47.43182628,372.2973921,12.26463333,0.406843613,96.23479131,3031.17,3.38,0.919737835,-0.022989925,0.000336661,4.815928906,5.249329931,0.08283031,2.555656801,39.62421186,0.002536161,-0.004632986,0.155183227,13.34117542,3.144200978,141.8215287,-0.022989925,0.000336661,4.815928906,5.249329931,0.08283031,2.555656801,39.62421186,0.002536161,-0.004632986,0.155183227,13.34117542,3.144200978,141.8215287,-0.022989925,0.000336661,4.815928906,5.249329931,0.08283031,2.555656801,39.62421186,0.002536161,-0.004632986,0.155183227,13.34117542,3.144200978,141.8215287
F-3,15380.39612,23100.38693,15380.39612,0.441743946,13.65500503,21401,35.18994535,896.3134434,8.897621163,0.749352165,56.59203939,15164.44,1.095,3.183564785,-0.031598095,0.000207172,5.091770777,5.118792213,0.089920716,2.596586007,43.57671235,0.002261609,-0.007079619,0.185211781,14.49769289,3.170252024,169.8808165,-0.026384544,0.000321578,5.200170478,5.335727305,0.103611883,2.625826434,45.55984556,0.002563753,-0.004416282,0.222765196,15.37528138,3.21507199,187.7978688,-0.040290647,0,5.018329939,4.821862564,0.080515298,2.576830149,41.43638118,0.001968107,-0.01050024,0.152772843,13.33480419,3.111713573,146.5423451
K-8,7105.137611,7105.137611,7105.137611,NA,4.575079775,14925,41.46917109,1471.160477,8.876272262,0.63962362,74.09460469,3930.05,0.104999976,1.371932567,-0.024912396,0.000249687,5.158896145,5.328403993,0.081938917,2.617634239,42.90195998,0.00199199,-0.004494897,0.154008962,15.40938884,3.212331013,189.5845561,-0.024912396,0.000249687,5.158896145,5.328403993,0.081938917,2.617634239,42.90195998,0.00199199,-0.004494897,0.154008962,15.40938884,3.212331013,189.5845561,-0.024912396,0.000249687,5.158896145,5.328403993,0.081938917,2.617634239,42.90195998,0.00199199,-0.004494897,0.154008962,15.40938884,3.212331013,189.5845561
G-7,8161.542339,14486.23084,8161.542339,0.458940807,24.19335137,9810,50.27778376,586.8710999,13.19001008,0.641977394,115.4540173,10057.335,3.165,2.303625464,-0.049172205,0.000718238,5.222408598,4.807992142,0.108577655,2.532719194,46.68860787,0.002632452,-0.008912769,0.196124528,14.37888427,3.060667963,170.609693,-0.028332844,0.002354788,5.627118644,5.319525893,0.16228599,2.666500533,51.15254237,0.00356147,-0.004708114,0.246176388,14.80358923,3.252657061,186.8248746,-0.106778628,0,4.907899933,3.873794196,0.080726112,2.320264766,40.07754926,0.001817757,-0.016009234,0.15745331,13.73203835,2.739493123,149.8804754
D-2,12273.82437,18263.80999,12273.82437,0.690177621,8.848791243,12879,43.72023045,582.4405209,12.03089168,0.501903848,84.492579,1932.375,1.645,1.129006644,-0.035596337,0.000140704,4.29621105,4.670778509,0.126289784,2.431145011,32.36433928,0.003378749,-0.011053131,0.20921935,12.74400929,2.945629523,126.9719881,-0.027384227,0.000281408,5.073042255,5.265303867,0.16986962,2.607009574,42.52712816,0.004613131,-0.004602011,0.26353771,13.79809611,3.184407031,152.9104607,-0.043808448,0,3.519379845,4.076253152,0.082709948,2.255280448,22.20155039,0.002144368,-0.017504251,0.154900991,11.68992248,2.706852015,101.0335154
K-6,8515.514921,8966.976308,8515.514921,0.046493977,13.65761251,16569,38.66433716,1900.751927,9.193985194,0.816129409,66.30172098,8519.26,0.56,1.972378431,-0.036533143,0.000207886,4.971207664,5.050832538,0.09457744,2.572390484,39.83630916,0.002200632,-0.006989809,0.181304178,13.49865353,3.133962686,145.5865296,-0.026310279,0.000430893,5.470535825,5.461861777,0.119684601,2.665062541,47.52898184,0.002585773,-0.003983522,0.219200636,15.05046002,3.263577563,184.0226935,-0.049263228,0,4.51498847,4.560568499,0.073823064,2.473020533,31.67563413,0.001722796,-0.01073928,0.146850082,12.64642583,2.997578972,121.8015184
I-4,10393.68488,14548.12905,10393.68488,0.565273179,9.642970604,11942,44.03935664,443.5230701,13.12627408,0.52160696,84.57234132,2004.25,1.58,1.119143297,-0.040902937,0.000181053,5.361732952,5.050814823,0.089345319,2.630213481,48.25738805,0.002052538,-0.007839387,0.192480274,15.62988167,3.185323542,202.9793631,-0.022154605,0.000362106,5.998356615,5.223422649,0.0947159,2.724555764,58.3927691,0.002632811,-0.004712898,0.228839918,17.6746097,3.237981749,260.2347519,-0.05965127,0,4.725109289,4.878206996,0.083974738,2.535871199,38.122007,0.001472265,-0.010965875,0.156120629,13.58515364,3.132665335,145.7239743
D-8,6713.378514,8135.101855,6713.378514,0.271540618,12.12440526,10018,52.32358462,1484.296929,12.39713106,0.721462278,124.2462078,5249.91,1.01,1.453016929,-0.04340535,0.000598263,5.38281812,5.053557421,0.092871563,2.62345672,46.37128866,0.001961774,-0.008776224,0.203674121,15.52623568,3.190227169,196.0117146,-0.023418863,0.000993049,6.081566069,5.347209978,0.114286915,2.731446445,56.50027189,0.002533247,-0.004896403,0.243096257,16.95729891,3.323046224,231.8911448,-0.061985806,0.000257966,4.712369921,4.624197038,0.077401381,2.538613128,36.99293868,0.001338339,-0.013086674,0.158585759,14.06186491,3.115476532,154.7583987
I-9,6439.727815,8469.758199,6439.727815,0.216949683,39.04284097,4780,72.73227048,490.9816072,12.69057984,0.520721452,231.9498682,2108.075,3.15,1.035660293,-0.049282211,3.06E-05,4.888511769,4.660634728,0.120928638,2.511881703,40.14318389,0.00273614,-0.011224949,0.22127003,14.82551352,3.035511197,176.623877,-0.03267256,0.000164141,5.842534333,5.157814888,0.153561213,2.649093541,53.79942004,0.004209996,-0.00558895,0.264662216,17.32921158,3.22141578,248.6067548,-0.075711787,0,4.426163183,4.032015605,0.093637278,2.275939241,32.79298719,0.001897295,-0.016621924,0.168800841,13.1679029,2.743314265,134.1607528
