TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
E-10,10793.37965,10793.37965,10793.37965,NA,3.89446787,26404,33.24688636,727.6936801,9.906582045,0.537966424,48.62081787,7751.305,0.265,1.466801499,-0.0287991,0.000210194,5.262890417,5.331111717,0.080878013,2.634297183,44.66957991,0.001912519,-0.004436009,0.153044952,14.55539779,3.216771983,170.7331503,-0.0287991,0.000210194,5.262890417,5.331111717,0.080878013,2.634297183,44.66957991,0.001912519,-0.004436009,0.153044952,14.55539779,3.216771983,170.7331503,-0.0287991,0.000210194,5.262890417,5.331111717,0.080878013,2.634297183,44.66957991,0.001912519,-0.004436009,0.153044952,14.55539779,3.216771983,170.7331503
A-2,4652.764488,4652.764488,4652.764488,NA,4.209237071,10413,50.48718457,347.1050089,11.95756917,0.413985743,110.0549563,5572.09,1.89,1.083960015,-0.021443527,9.60E-05,3.990497176,4.906167698,0.104925399,2.387271209,28.83453456,0.003796765,-0.006128725,0.172367837,12.27751664,2.961393604,114.4140158,-0.021443527,9.60E-05,3.990497176,4.906167698,0.104925399,2.387271209,28.83453456,0.003796765,-0.006128725,0.172367837,12.27751664,2.961393604,114.4140158,-0.021443527,9.60E-05,3.990497176,4.906167698,0.104925399,2.387271209,28.83453456,0.003796765,-0.006128725,0.172367837,12.27751664,2.961393604,114.4140158
A-5,6296.671971,6296.671971,6296.671971,NA,4.05842371,14670,43.74324733,478.7261192,9.481825303,0.438542868,82.47981459,1619.745,1.85,0.806510834,-0.024553443,0.000571505,5.063974517,5.316692918,0.078982048,2.59915114,42.66064845,0.002201215,-0.004371087,0.15172836,13.95658041,3.195556464,156.4155583,-0.024553443,0.000571505,5.063974517,5.316692918,0.078982048,2.59915114,42.66064845,0.002201215,-0.004371087,0.15172836,13.95658041,3.195556464,156.4155583,-0.024553443,0.000571505,5.063974517,5.316692918,0.078982048,2.59915114,42.66064845,0.002201215,-0.004371087,0.15172836,13.95658041,3.195556464,156.4155583
L-8,10221.39458,17108.73743,10221.39458,0.427075387,18.89972665,19880,39.99737988,703.7649869,12.06074865,0.647610721,71.85096227,5122.465,0.6,1.8456283,-0.045120363,0.001348958,5.005608613,4.697156681,0.119207099,2.529873946,44.44073479,0.002723905,-0.010577241,0.213319507,14.84405623,3.065995284,179.728834,-0.020222284,0.003571429,6.542857143,5.250575021,0.180342202,2.76049124,67.07668898,0.00476162,-0.004738904,0.250559051,16.41666667,3.287067421,229.7508605,-0.069353398,0,3.450934579,3.876751448,0.085409604,2.232156484,23.26168224,0.001124836,-0.016585889,0.156947791,13.95830797,2.710545897,160.3501184
K-5,6601.552712,6601.552712,6601.552712,NA,3.742200293,16779,42.78611645,602.6018679,8.80871581,0.461842367,78.71675964,2993.195,0.095000001,0.901812308,-0.027739106,0.00017506,4.961851508,5.177944865,0.088625241,2.586608251,40.94089332,0.002273135,-0.004975308,0.15967303,14.17212799,3.159047992,160.0188008,-0.027739106,0.00017506,4.961851508,5.177944865,0.088625241,2.586608251,40.94089332,0.002273135,-0.004975308,0.15967303,14.17212799,3.159047992,160.0188008,-0.027739106,0.00017506,4.961851508,5.177944865,0.088625241,2.586608251,40.94089332,0.002273135,-0.004975308,0.15967303,14.17212799,3.159047992,160.0188008
C-7,10550.17743,10550.17743,10550.17743,NA,3.914306847,25805,33.57714094,361.7435282,10.36326115,0.450713472,48.58452141,2847.44,1.28,0.970147288,-0.028542959,0.000127451,4.863914047,5.142403668,0.092905754,2.566375294,39.61216435,0.002409988,-0.00521681,0.162906712,14.06913971,3.134161651,156.9873656,-0.028542959,0.000127451,4.863914047,5.142403668,0.092905754,2.566375294,39.61216435,0.002409988,-0.00521681,0.162906712,14.06913971,3.134161651,156.9873656,-0.028542959,0.000127451,4.863914047,5.142403668,0.092905754,2.566375294,39.61216435,0.002409988,-0.00521681,0.162906712,14.06913971,3.134161651,156.9873656
G-5,6515.973856,8014.032571,6515.973856,0.1830305,22.35625432,14464,45.01883967,655.7746836,7.761002449,0.545831957,89.95016869,2743.825,0.16,1.102842281,-0.043587133,0.000152673,5.462182995,4.922438548,0.104718232,2.630923735,48.60209574,0.002028358,-0.009207293,0.205941867,16.19759215,3.174073621,216.314818,-0.028408243,0.000916039,6.246701847,5.512125844,0.144974037,2.761500886,61.20184697,0.003198307,-0.003775901,0.241867437,18.35502959,3.336824111,276.9090987,-0.053162116,0,4.614518852,4.228968999,0.070272124,2.500618758,36.6370287,0.001248159,-0.014153377,0.143654793,14.9828496,2.95324312,181.2881126
G-6,6726.835886,6726.835886,6726.835886,NA,3.698491069,17059,42.25528087,411.2569633,10.14225987,0.497819816,77.3604335,1214.07,2.22,0.987787211,-0.026848786,0.000166415,5.13027212,5.306186494,0.082618225,2.61255301,42.74223488,0.002048496,-0.004548041,0.154588418,14.56771326,3.197384831,169.7914602,-0.026848786,0.000166415,5.13027212,5.306186494,0.082618225,2.61255301,42.74223488,0.002048496,-0.004548041,0.154588418,14.56771326,3.197384831,169.7914602,-0.026848786,0.000166415,5.13027212,5.306186494,0.082618225,2.61255301,42.74223488,0.002048496,-0.004548041,0.154588418,14.56771326,3.197384831,169.7914602
L-4,6230.187118,7311.798962,6230.187118,0.159492982,18.81059793,11523,52.24149554,525.3925169,10.69981963,0.502328933,115.2260297,1744.945,0.069999995,0.938922386,-0.039093946,0.000199506,4.83891682,4.945101144,0.099667201,2.537092161,39.17754157,0.002542994,-0.008060252,0.195021923,14.01350034,3.10026063,155.6122288,-0.023432785,0.000795292,5.388288602,5.233898807,0.117423959,2.625318989,46.02965709,0.003940275,-0.004688414,0.241106387,14.94902688,3.168915387,180.451361,-0.05918627,0,3.843216589,4.656236071,0.083661044,2.341602881,26.03312682,0.001720784,-0.012297288,0.15587277,13.08661019,2.905980834,128.0884651
I-7,9809.696696,9809.696696,9809.696696,NA,3.677073702,25481,34.00035607,680.1184665,8.229548053,0.594990144,52.99444645,2541.575,0.43,1.126838192,-0.024966938,0.000241232,5.291177518,5.442282483,0.075672017,2.633842705,44.34267171,0.001862399,-0.004081954,0.148373311,15.29004734,3.237094059,187.4560883,-0.024966938,0.000241232,5.291177518,5.442282483,0.075672017,2.633842705,44.34267171,0.001862399,-0.004081954,0.148373311,15.29004734,3.237094059,187.4560883,-0.024966938,0.000241232,5.291177518,5.442282483,0.075672017,2.633842705,44.34267171,0.001862399,-0.004081954,0.148373311,15.29004734,3.237094059,187.4560883
K-6,7621.363357,7621.363357,7621.363357,NA,3.584058362,20270,39.57040067,546.2720942,9.192130748,0.495083295,67.64436729,920.4,0.61,0.888647318,-0.027288624,0.000370484,5.34212462,5.402072694,0.075896365,2.644617027,45.76869282,0.001853114,-0.004134043,0.148761937,14.25466408,3.236536941,164.7362436,-0.027288624,0.000370484,5.34212462,5.402072694,0.075896365,2.644617027,45.76869282,0.001853114,-0.004134043,0.148761937,14.25466408,3.236536941,164.7362436,-0.027288624,0.000370484,5.34212462,5.402072694,0.075896365,2.644617027,45.76869282,0.001853114,-0.004134043,0.148761937,14.25466408,3.236536941,164.7362436
G-7,6628.399816,6628.399816,6628.399816,NA,3.666612663,17200,42.78411998,912.0487026,10.87096851,0.637401559,80.14943052,6059.58,0.21,1.357795227,-0.022548911,0.000506134,5.011799133,5.327738921,0.079999809,2.593423979,41.8615699,0.002250513,-0.004403036,0.152432858,14.448974,3.191163006,166.7536433,-0.022548911,0.000506134,5.011799133,5.327738921,0.079999809,2.593423979,41.8615699,0.002250513,-0.004403036,0.152432858,14.448974,3.191163006,166.7536433,-0.022548911,0.000506134,5.011799133,5.327738921,0.079999809,2.593423979,41.8615699,0.002250513,-0.004403036,0.152432858,14.448974,3.191163006,166.7536433
