Image,Name,Centroid X µm,Centroid Y µm
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-10,15995.7,15155.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-1,3046.4,15756.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-2,4469.7,15981.1
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-3,5992.9,15981.1
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-4,7416.2,16081
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-5,8889.5,16180.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-6,10237.9,16355.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-7,11661.2,16280.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-8,13109.5,16505.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-9,14482.9,16355.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,K-10,15806.3,16430.6
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-1,3046.4,17479.3
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-2,4519.7,17554.3
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-3,6017.9,17704.1
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-4,7516.1,17529.3
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-5,8789.6,17878.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-6,10088.1,17853.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-7,11486.4,17978.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-8,12909.7,17903.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-9,14258.1,17903.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,L-10,15606.6,18003.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-1,3458.4,1396.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-2,5081.6,1270.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-3,6467.4,1323.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-4,7962.3,1031
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-5,9193.7,1259.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-6,10462.6,1123.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-7,11910.9,1123.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-8,13334.2,1323.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-9,14657.7,1373.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,A-10,15881.2,1747.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-1,3900.8,2948.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-2,5168.9,2796.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-3,6542.3,2821.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-4,7875.1,2782.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-5,9201.6,2809.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-6,10508.7,2710.9
