"","TMA.core","Ki67","Cyclin","Range"
"17","C-4",0.2051693916584,0.2038007608068,0.00136863085159999
"113","L-1",0.209192693532,0.209336459442,0.000143765909999982
"93","I-8",0.2182477610324,0.2181972420008,5.05190315999993e-05
"53","F-4",0.22922211889,0.2299159465692,0.00069382767920001
"97","J-11",0.2425686864032,0.2408910876676,0.0016775987356
"25","D-11",0.211125340206,0.2002306049592,0.0108947352468
"80","H-7",0.2220837859084,0.2228732720232,0.000789486114800009
"40","E-13",0.216219394088,0.2164521402752,0.000232746187199984
"59","G-1",0.2178705275292,0.2102694229044,0.00760110462479999
"30","D-4",0.2267629076708,0.2207836474036,0.00597926026720003
"3","A-12",0.226691323584,0.2333721821036,0.00668085851960001
"42","E-3",0.2251045601696,0.226655871632,0.00155131146239998
"63","G-13",0.196359086908,0.1931695654776,0.00318952143039999
"27","D-13",0.2284282837276,0.2276103742164,0.000817909511199977
"115","L-13",0.2246830529496,0.2221154865492,0.00256756640040001
"21","C-8",0.2281263650108,0.2222764631452,0.0058499018656
"95","J-1",0.2279681915924,0.226552504458,0.00141568713440002
"107","K-3",0.2483305973484,0.2473024495172,0.00102814783119998
"54","F-5",0.2367517837092,0.234027919546,0.0027238641632
"65","G-3",0.2319464158968,0.232647869868,0.0007014539712
"47","E-8",0.2302363745028,0.229203980682,0.00103239382079998
"45","E-6",0.2425555774256,0.2408223067584,0.0017332706672
"41","E-2",0.2340736154632,0.2356479088596,0.0015742933964
"83","I-10",0.236856964704,0.2323373767256,0.00451958797839999
"6","A-4",0.2084787489312,0.2454277626624,0.0369490137312
"44","E-5",0.2422167227216,0.2411587499052,0.00105797281639999
"82","I-1",0.2569803583464,0.2535823918052,0.0033979665412
"64","G-2",0.2355735628184,0.2344557751388,0.0011177876796
"55","F-6",0.2496097944676,0.2493733794156,0.000236415052000005
"8","A-6",0.1800210342172,0.2491969853428,0.0691759511256
"9","A-7",0.2181246479456,0.2378310276968,0.0197063797512
"19","C-6",0.2453259413584,0.2420196346024,0.00330630675599999
"2","A-11",0.1857453702156,0.2423936320844,0.0566482618688
"71","G-9",0.2386744131456,0.2335153296656,0.00515908347999999
"91","I-6",0.2500428029604,0.2471638158956,0.0028789870648
"60","G-10",0.24098876604,0.2371810408908,0.0038077251492
"78","H-5",0.2351514166388,0.2469631825812,0.0118117659424
"86","I-13",0.24989606898,0.245959356438,0.00393671254200001
"73","H-11",0.2417640507624,0.2392154882572,0.00254856250520002
"43","E-4",0.2495409929468,0.2493872510224,0.000153741924399986
"26","D-12",0.2452574490116,0.2415782165768,0.00367923243479998
"70","G-8",0.2367605848624,0.2190671751904,0.017693409672
"77","H-4",0.233527985188,0.2280532556656,0.0054747295224
"90","I-5",0.2515117710808,0.2497624439772,0.00174932710359998
"36","E-1",0.2486402660268,0.2454375531724,0.00320271285439999
"31","D-5",0.2609963224904,0.2601234624536,0.000872860036799983
"94","I-9",0.2562227171536,0.2505980794644,0.00562463768920002
"18","C-5",0.2568186191212,0.2510484429244,0.00577017619680004
"37","E-10",0.2552107288168,0.2519714303724,0.00323929844440002
"4","A-2",0.231503926068,0.2537437187984,0.0222397927304
"7","A-5",0.2260164791884,0.2583817410304,0.032365261842
"120","L-8",0.2477509991564,0.2525838010084,0.004832801852
"109","K-5",0.2707289757292,0.2734469655864,0.00271798985720001
"20","C-7",0.265864081616,0.266120180746,0.00025609913000002
"67","G-5",0.2652160941352,0.2629247437864,0.00229135034879996
"68","G-6",0.2684620089032,0.2684741697472,1.21608440000198e-05
"118","L-4",0.2750765186824,0.2699910598376,0.00508545884479999
"92","I-7",0.2647625358772,0.2595719990956,0.00519053678159997
"110","K-6",0.2775917316188,0.2777498432024,0.000158111583599962
"69","G-7",0.2479895372032,0.245736854216,0.00225268298719999
"76","H-3",0.2740422079828,0.2714235248144,0.00261868316839997
"88","I-3",0.28491157035,0.278520016248,0.00639155410199999
"116","L-2",0.2791338090844,0.279793297838,0.000659488753600002
"75","H-2",0.2768533004372,0.2733433716848,0.00350992875240003
"87","I-2",0.2857032000712,0.2806041169588,0.00509908311239998
"46","E-7",0.2830678421184,0.280196976024,0.00287086609440002
"89","I-4",0.289326884244,0.2870822397808,0.0022446444632
