"","TMA.core","H&E","P16","P53","P63","uv-GATA3","Ki67","CK20","CK5-6","Her2Neu","Cyclin","Mean","CoV","QCoD"
"101","J-4","0.152944461596","0.1472396447828","0.1466406922984","0.1583015401056","0.1586254513996","0.1468789005596","0.1599469641336","0.1576066406232","0.1582036556172","0.1448869955356",0.15312749466516,0.0397272876669484,0.037045453843353
"85","I-12","0.142171911914","0.1280114129284","0.1200603439472","0.1802136290076","0.1815961108544","0.1277341250736","0.18006705992","0.1799603330552","0.1822293610412","0.1225436707384",0.154458795848,0.183671264840959,0.170054763079535
"119","L-6","0.1531897808592","0.1584830252436","0.1548527453588","0.1567841141136","0.1589647801704","0.1581116454348","0.1540365878336","0.15360073494","0.1546249871788","0.1573098129716",0.15599582141044,0.01392378466849,0.0119434824081381
"105","K-13","0.168173548372","0.1506959009288","0.1485970835356","0.1477725783124","0.1695677582192","0.1656460096988","0.1532792764264","0.1467847673824","0.1505360373592","0.1606623103232",0.1561715270558,0.057255103082228,0.0488649026589775
"52","F-3","0.1625006383156","0.1670046439244","0.157716253112","0.1578156216356","0.157068533582","0.1577480568108","0.1451530500684","0.1457410990164","0.15650233293","0.1566817981312",0.15639320275264,0.0424070930215125,0.00398138191404253
"22","C-9","0.1311608447968","0.1304051823176","0.1365668140216","0.1869199222416","0.188602220422","0.137991982492","0.1806502033072","0.1759671859524","0.1795202135604","0.142920628284",0.15907051973956,0.157222677005038,0.136923598436793
"108","K-4","0.2414238975276","0.2412461843124","0.2397696723464","0.0790601614592","0.0701878157928","0.2483993164228","0.0791196465368","0.0836487158512","0.0699387039952","0.2503511524964",0.16031452667408,0.552744958468239,0.506481998244195
"50","F-13","0.1908321482028","0.1695551851432","0.1657355258776","0.1547928274376","0.1613820467836","0.1591304562112","0.1479274538748","0.1493381323904","0.1555135326432","0.1585909888044",0.16127982973688,0.0764927490837717,0.030267653860911
"39","E-12","0.1874993761524","0.1763979683924","0.1759590443704","0.1633141781676","0.068844702102","0.1719577762972","0.1657260033184","0.1587451429608","0.180643360256","0.1657234062568",0.1614810958274,0.208623540619094,0.0363656098107431
"104","K-1","0.145485844962","0.1321296724432","0.1280778647268","0.196653935846","0.1966587383488","0.140316764856","0.1870338631664","0.1865813561","0.192566346392","0.1389513700256",0.16444557568668,0.179303268733979,0.157017500802851
