Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-10 - PathAnnotationObject		E-10	E-10	Polygon	14524.2	8046.8	1144743.4	6697.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-5 - PathAnnotationObject		E-5	E-5	Geometry	7205.5	8153.9	888067	9719.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	H-2 - PathAnnotationObject		H-2	H-2	Geometry	3007.2	13030.6	857990.6	10156.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-12 - PathAnnotationObject		E-12	E-12	Polygon	17654.1	8063	1347884.6	4252.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	I-4 - PathAnnotationObject		I-4	I-4	Polygon	5864.8	14363	1055727.8	6698.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-3 - PathAnnotationObject		K-3	K-3	Polygon	4727.4	17502	926669.5	6539.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-4 - PathAnnotationObject		C-4	C-4	Geometry	5710.4	4949.3	922916.5	13425.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	H-12 - PathAnnotationObject		H-12	H-12	Polygon	17514.2	12742.4	1157913.1	5142.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-11 - PathAnnotationObject		C-11	C-11	Polygon	15938.2	4956.4	840429.1	7926.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	J-2 - PathAnnotationObject		J-2	J-2	Geometry	3206.1	16056.8	893930	10526.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	B-8 - PathAnnotationObject		B-8	B-8	Polygon	11481.4	3318.4	1360508.1	6265
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-5 - PathAnnotationObject		F-5	F-5	Polygon	7250	9588.4	1164997.2	5679.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	J-9 - PathAnnotationObject		J-9	J-9	Geometry	13219.5	15916	1273692.7	9797.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	B-1 - PathAnnotationObject		B-1	B-1	Geometry	1132.4	3410.5	289503.3	38574.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-3 - PathAnnotationObject		C-3	C-3	Geometry	4243.5	5016.8	1184336.5	5439.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	B-4 - PathAnnotationObject		B-4	B-4	Geometry	5716.8	3611	332167.4	3308.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	I-5 - PathAnnotationObject		I-5	I-5	Geometry	7323.6	14717.2	337980.1	3618
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-6 - PathAnnotationObject		F-6	F-6	Geometry	8763.3	9820	1185603.6	12217.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-13 - PathAnnotationObject		G-13	G-13	Geometry	18916.8	11115.5	563303	21798.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-7 - PathAnnotationObject		G-7	G-7	Polygon	10171.6	11298	1065521.4	5533.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	J-8 - PathAnnotationObject		J-8	J-8	Polygon	11736.4	15979.2	1210359.6	6777.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-5 - PathAnnotationObject		C-5	C-5	Geometry	7161.3	4995.7	1206142.7	6873.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-7 - PathAnnotationObject		K-7	K-7	Geometry	10218.8	17527.3	673740.1	22722.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	B-3 - PathAnnotationObject		B-3	B-3	Geometry	4265.7	3324.4	609605.9	4986.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	J-10 - PathAnnotationObject		J-10	J-10	Geometry	14667.4	15970.4	1008187.6	6277.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-11 - PathAnnotationObject		E-11	E-11	Polygon	16053.8	8044.6	1334656.9	4438.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-10 - PathAnnotationObject		C-10	C-10	Polygon	14515.6	4965.1	723353.7	4593
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	J-4 - PathAnnotationObject		J-4	J-4	Polygon	6000.2	16050.1	1106269.6	8327.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-2 - PathAnnotationObject		F-2	F-2	Polygon	2636.6	9815.2	1041997.7	5257.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	A-5 - PathAnnotationObject		A-5	A-5	Geometry	7006.3	1785.9	730070.5	5608.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	H-1 - PathAnnotationObject		H-1	H-1	Polygon	1528.3	12993.5	1065854.1	5663.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-2 - PathAnnotationObject		E-2	E-2	Polygon	2474.6	8055.7	794504.8	6905.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-13 - PathAnnotationObject		L-13	L-13	Polygon	18978.8	18860.8	912025.1	6083.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-9 - PathAnnotationObject		G-9	G-9	Polygon	13077.5	11228.9	1163012.4	5662.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	D-13 - PathAnnotationObject		D-13	D-13	Polygon	19092	6515	1251840.1	4909.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-12 - PathAnnotationObject		G-12	G-12	Geometry	17497.1	11108.9	1054268.1	4911
