Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-7 - PathAnnotationObject		F-7	F-7	Polygon	10684.6	9364.6	1457371.2	6412.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-9 - PathAnnotationObject		I-9	I-9	Polygon	13797.6	14124.7	1275036.4	5694
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	B-13 - PathAnnotationObject		B-13	B-13	Geometry	19797.4	3038.3	530656.9	46889.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-9 - PathAnnotationObject		J-9	J-9	Polygon	13862.9	15620.1	1306718.9	8222
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-7 - PathAnnotationObject		H-7	H-7	Polygon	10751.8	12488	1434666.5	5082.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-12 - PathAnnotationObject		F-12	F-12	Polygon	18351.1	9419.3	1214135.4	8133.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-8 - PathAnnotationObject		L-8	L-8	Polygon	12349.4	18854.1	1287712.4	4832.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-8 - PathAnnotationObject		K-8	K-8	Polygon	12084.3	17055.6	1196207	16817.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-2 - PathAnnotationObject		K-2	K-2	Polygon	3165.8	17118	1090402.9	6398.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-12 - PathAnnotationObject		L-12	L-12	Polygon	18605	18705.1	1399481	6213.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-6 - PathAnnotationObject		D-6	D-6	Polygon	9163.9	6263.5	1049483.1	7972.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-13 - PathAnnotationObject		F-13	F-13	Polygon	19883.9	9306.9	1200349.5	10074.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	B-7 - PathAnnotationObject		B-7	B-7	Polygon	10902.4	3040	560655.8	5364.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-12 - PathAnnotationObject		J-12	J-12	Polygon	18501.4	15533.2	1049574.4	9455.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-10 - PathAnnotationObject		L-10	L-10	Polygon	15497.8	18835.2	1222673.5	9216.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	C-1 - PathAnnotationObject		C-1	C-1	Polygon	1382.6	4930.6	943778	11475.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-1 - PathAnnotationObject		J-1	J-1	Polygon	1733.8	15617.3	651435.8	5870
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-11 - PathAnnotationObject		L-11	L-11	Geometry	16904.5	18852.5	474944.3	13324.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-5 - PathAnnotationObject		I-5	I-5	Polygon	7605.1	14363	425357.4	3659.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-8 - PathAnnotationObject		H-8	H-8	Geometry	12267.8	12587.6	1183922.9	6252.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-1 - PathAnnotationObject		I-1	I-1	Polygon	1490.9	14131.2	1145802.2	5084.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-13 - PathAnnotationObject		A-13	A-13	Geometry	19737.6	1609.1	1064611.2	8230.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-13 - PathAnnotationObject		I-13	I-13	Polygon	19966	13965.8	875054.2	5910.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-10 - PathAnnotationObject		F-10	F-10	Geometry	15537.6	9506.4	505989.7	10634.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-10 - PathAnnotationObject		H-10	H-10	Polygon	15427.9	12504.7	1177052.2	13282.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-3 - PathAnnotationObject		D-3	D-3	Geometry	4671.9	6407.1	858446.6	6083.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-10 - PathAnnotationObject		I-10	I-10	Polygon	15360.6	13926.2	1145923.4	8228.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-3 - PathAnnotationObject		F-3	F-3	Geometry	4426.2	9499.3	858551.7	6798.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	B-12 - PathAnnotationObject		B-12	B-12	Polygon	18447.1	3317	685638.3	8001.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-12 - PathAnnotationObject		K-12	K-12	Polygon	18479.3	17012.2	1306810.4	8381.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	C-4 - PathAnnotationObject		C-4	C-4	Geometry	6091.3	4762.7	875531.2	15004.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-4 - PathAnnotationObject		F-4	F-4	Polygon	6088.9	9494	1243256.5	6379.6
