Image,TMA core,Area µm^2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-6,1134614.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-5,1174168.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-4,1211976
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-3,1104328.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-2,1147421.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-1,1213024.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-13,1084847.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-12,1182931.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-11,1045338.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-10,1063878.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-9,356642.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-8,993442.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-7,858486.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-6,923471.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-5,1254058.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-4,1004725.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-3,921746.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-2,820075.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,D-1,826953.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-13,646595.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-12,777974.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-11,884180.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-10,1091195
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-9,604391.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-8,1115168
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-7,1238619.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-6,1162692.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-5,1226794.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-4,1020666.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-3,1108943.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-2,1032949
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,C-1,637342.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-12,1042091.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-11,942933.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-10,388659.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-9,1237761.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-7,784715.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-6,1228810.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-5,936874.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-4,853093.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-3,1108697.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,B-2,1177591.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-12,1130111.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-11,1199787.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-10,857682.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-9,852815.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-7,1153605
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-6,1031149.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-5,1193532.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-4,1060815.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-3,551614.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-2,1153342.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,A-1,827892.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,,472042691
