Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num overstaining	Area µm^2	Perimeter µm
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-8 - PathAnnotationObject		F-8	F-8	Polygon	12755	9569.7	7141	0	1312255.7	5943.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-2 - PathAnnotationObject		D-2	D-2	Polygon	3971.6	6415.9	3710	0	683240.2	3929.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-3 - PathAnnotationObject		F-3	F-3	Polygon	5228.4	9375.8	2038	0	868137.9	4841.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-10 - PathAnnotationObject		H-10	H-10	Polygon	15719.1	12763.7	5316	0	1211976	7211.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-5 - PathAnnotationObject		L-5	L-5	Geometry	8383.9	18875	3146	0	852815.9	10845.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-2 - PathAnnotationObject		H-2	H-2	Geometry	3877.3	12565.6	4911	0	903164.9	10401.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-1 - PathAnnotationObject		G-1	G-1	Geometry	2511.5	10993.5	3870	0	893710.4	23650.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-12 - PathAnnotationObject		C-12	C-12	Polygon	18845	5058	4192	0	1073187.9	4620.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-12 - PathAnnotationObject		L-12	L-12	Polygon	18634.1	18945	4959	0	1153342.5	4463.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-11 - PathAnnotationObject		I-11	I-11	Geometry	17090.2	14326.9	6297	0	921746.3	12395.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-3 - PathAnnotationObject		K-3	K-3	Polygon	5460.5	17154.7	5426	0	942933.6	7454.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-1 - PathAnnotationObject		H-1	H-1	Polygon	2367.7	12373.6	17239	0	1051957.8	5526.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-6 - PathAnnotationObject		A-6	A-6	Geometry	9957.1	1554.1	9146	0	1252579.4	13333.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-4 - PathAnnotationObject		J-4	J-4	Polygon	6884.9	15773.7	5089	0	1091195	9549.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-13 - PathAnnotationObject		B-13	B-13	Geometry	20471.8	3621.9	3359	0	460831.8	37342.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-1 - PathAnnotationObject		C-1	C-1	Geometry	2307.6	4749.3	8257	0	1068601.4	14003.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-7 - PathAnnotationObject		E-7	E-7	Polygon	11411.4	7909.3	4259	0	1048318.9	10562.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-11 - PathAnnotationObject		C-11	C-11	Polygon	17355.4	5041.1	2385	0	902714	6034.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-13 - PathAnnotationObject		L-13	L-13	Polygon	20069.7	18856.1	4363	0	827892.3	12273.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-13 - PathAnnotationObject		H-13	H-13	Polygon	20139.1	12763.1	21071	0	1213024.5	4061.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-9 - PathAnnotationObject		K-9	K-9	Geometry	14171.9	17475.2	2954	0	936874.4	10600.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-4 - PathAnnotationObject		G-4	G-4	Geometry	6687.4	10970.3	7820	0	899653	8351.9
