Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-5 - PathAnnotationObject		K-5	K-5	Polygon	7681.8	17564.9	1165301.4	7106.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-3 - PathAnnotationObject		E-3	E-3	Polygon	5186.6	7960	1283719.2	5912.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	B-13 - PathAnnotationObject		B-13	B-13	Geometry	20838.9	4191.3	512550.1	53854.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-6 - PathAnnotationObject		L-6	L-6	Geometry	9286	19266.6	252406.7	12117.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-1 - PathAnnotationObject		H-1	H-1	Polygon	1830	12373.5	1130097.3	4798.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-3 - PathAnnotationObject		J-3	J-3	Polygon	4762.7	15649	963108.1	10889.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-4 - PathAnnotationObject		E-4	E-4	Geometry	6825	7988.3	836761.4	10073.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-3 - PathAnnotationObject		C-3	C-3	Geometry	5356.5	4809.4	738800.4	20215.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-1 - PathAnnotationObject		I-1	I-1	Polygon	1722.6	13969.7	1155654.2	5007.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-7 - PathAnnotationObject		D-7	D-7	Polygon	11477.1	6742.9	1370486.5	4453.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-1 - PathAnnotationObject		G-1	G-1	Geometry	2085.4	11019.9	711254.1	26932.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-5 - PathAnnotationObject		J-5	J-5	Geometry	7742.4	15859.4	894039.3	15161.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-10 - PathAnnotationObject		G-10	G-10	Geometry	15657.7	11640.2	959931.8	12087.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-11 - PathAnnotationObject		G-11	G-11	Geometry	17304	11954.1	743287.8	13062.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-7 - PathAnnotationObject		L-7	L-7	Polygon	10661.3	19172.6	1278178.2	4317.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-12 - PathAnnotationObject		F-12	F-12	Polygon	18873.9	10465.7	1230806.3	5051
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-8 - PathAnnotationObject		D-8	D-8	Polygon	13013.6	6854.4	1212759.8	4584.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-11 - PathAnnotationObject		C-11	C-11	Geometry	17656.5	5612.6	914360.7	11028.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	B-8 - PathAnnotationObject		B-8	B-8	Polygon	13167.3	3769	1359243.5	5083.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-7 - PathAnnotationObject		H-7	H-7	Polygon	11071.9	12964.7	1439130	4889.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-5 - PathAnnotationObject		I-5	I-5	Geometry	7816.7	14633.5	448347.9	4754.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-2 - PathAnnotationObject		C-2	C-2	Geometry	3669.4	4895.2	522607.5	7835.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-4 - PathAnnotationObject		H-4	H-4	Polygon	6460.5	12735.2	1349684.6	5150.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-2 - PathAnnotationObject		D-2	D-2	Polygon	3843	6417.5	878327.6	4213.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-3 - PathAnnotationObject		L-3	L-3	Polygon	4609.1	18813.1	1278367.5	6392.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-1 - PathAnnotationObject		F-1	F-1	Polygon	2119.1	9317.4	1256307.1	8550.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-8 - PathAnnotationObject		L-8	L-8	Polygon	12186.4	19423.7	1288489.2	5077.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-9 - PathAnnotationObject		L-9	L-9	Polygon	13732.4	19422.8	1380303.4	4609.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-13 - PathAnnotationObject		I-13	I-13	Polygon	20085	15122.5	858009.8	5709.8
