"","TMA.core","H&E","P16","P53","CV","Mean","QCoD"
"28","D-2",0.1715899004604,0.1744698562704,0.1708602292088,0.0110766231331972,0.172306661979867,0.00524266554903605
"1","A-1",0.1778995028408,0.1837065325784,0.182638150904,0.0170371387477078,0.1814147287744,0.00798895425049365
"13","C-12",0.1729462055752,0.175282180038,0.1791451648868,0.0178090209116372,0.1757911835,0.00882218566246323
"58","F-9",0.1985848099224,0.1712360611232,0.1556392427916,0.124114778904888,0.175153371279067,0.0616417438106948
"72","H-10",0.17468640174,0.1766020232324,0.1734761504228,0.0090105823678852,0.174921525131733,0.00446903773357051
"23","D-1",0.1705819313856,0.1724301735576,0.1719795627584,0.00561393593677659,0.171663889233867,0.00269042150536993
"57","F-8",0.2210037999032,0.1981835432936,0.205467559064,0.0559804567317573,0.2082183007536,0.027490229059916
"61","G-11",0.1803680305032,0.1788567673796,0.1761095914968,0.0120984409013801,0.178444796459867,0.00596260394167242
"51","F-2",0.211004762346,0.2119398694148,0.211445953644,0.00221220748597819,0.211463528468267,0.00110554111300465
"102","J-8",0.1899589996036,0.1998743746764,0.1826315139688,0.0453498732469531,0.190821629416267,0.0226158453090573
"98","J-12",0.2470762784304,0.2397051374268,0.2419810909104,0.0155373946648099,0.2429208355892,0.00759329345177415
"49","F-10",0.189281784874,0.1777482343084,0.1720988626992,0.0487328816935972,0.179709627293867,0.0239691319289454
"100","J-3",0.1867720752348,0.1726239844324,0.1662978309372,0.0598248605402277,0.175231296868133,0.0293193759310845
"84","I-11",0.1952648995104,0.1860998279008,0.1814356907716,0.0375032792097841,0.187600139394267,0.0184660224257107
"33","D-7",0.1795261909244,0.1860006448816,0.1804629263096,0.0192262042237033,0.181996587371867,0.00891242342462144
"112","K-8",0.178642386128,0.1540600438344,0.1620232942712,0.076057829604456,0.164908574744533,0.0374303449277562
"96","J-10",0.1989695254364,0.1854719779532,0.1870497959332,0.0387387821979515,0.190497099774267,0.0177940886362192
"48","E-9",0.1652793911696,0.1526225290156,0.1574024208904,0.0403400850968061,0.158434780358533,0.0200043099186605
"12","C-11",0.1900306249136,0.1779931825628,0.1784929726396,0.0373829147030976,0.182172260038667,0.0166031454129388
"103","J-9",0.2381205382304,0.2390352192036,0.2419754639436,0.00840266013437592,0.239710407125867,0.00402323182062368
"16","C-3",0.228596350714,0.2278452846216,0.2250411176648,0.0082488516976395,0.2271609176668,0.00390973653303089
"106","K-2",0.2396318219656,0.2377690486156,0.2361580459596,0.00730875029683692,0.237852972180267,0.0036515020405491
"32","D-6",0.1899055331132,0.2024957373528,0.198612037846,0.0327262494339821,0.197004436104,0.015944529010953
"62","G-12",0.2121135221448,0.211509334314,0.2102885916924,0.00439964521759217,0.2113038160504,0.00215860609326242
"29","D-3",0.1923227997264,0.2190844477112,0.2053337279452,0.0650963466058681,0.2055803251276,0.0325537908859876
"99","J-13",0.2208819029008,0.218890760506,0.2167764019664,0.0093811356403879,0.218849688457733,0.00468964378022996
